instruction,initial_state,target,predicted
"[16, 1, 2, 28, 4]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",4,4
"[16, 1, 6, 28, 8]","[1.0, 0.0, 0.0, 1.0, 1.0, 1.0]",0,5
"[16, 1, 2, 28, 4]","[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",1,1
"[16, 1, 2, 28, 4]","[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]",1,1
"[16, 10, 25, 23, 17]","[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",0,0
"[16, 1, 13, 17, 17]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,0
"[16, 1, 13, 17, 17]","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 2, 28, 4]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",0,1
"[16, 10, 14, 15, 17]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",1,5
"[16, 10, 25, 23, 17]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0
"[16, 10, 14, 15, 17]","[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",1,5
"[16, 1, 13, 17, 17]","[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]",3,5
"[16, 10, 25, 23, 17]","[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 6, 28, 8]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",0,1
"[16, 10, 25, 23, 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",5,5
"[16, 1, 13, 17, 17]","[0.0, 0.0, 0.0, 1.0, 0.0, 1.0]",3,5
"[16, 1, 2, 28, 4]","[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,1
"[16, 10, 25, 23, 17]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]",0,0
"[16, 1, 6, 7, 8]","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",0,1
"[16, 1, 2, 28, 4]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",4,4
"[16, 1, 2, 28, 4]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,4
"[16, 10, 14, 15, 17]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",1,1
"[16, 1, 2, 28, 4]","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",1,0
"[16, 10, 25, 22, 17]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1,1
"[16, 1, 6, 7, 8]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",1,1
"[16, 1, 13, 17, 17]","[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",2,4
"[16, 10, 14, 15, 17]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",0,0
"[16, 1, 6, 28, 8]","[0.0, 0.0, 1.0, 0.0, 1.0, 1.0]",2,2
"[16, 1, 13, 17, 17]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",1,5
"[16, 10, 25, 22, 17]","[1.0, 0.0, 1.0, 1.0, 0.0, 1.0]",0,0
"[16, 10, 25, 23, 17]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,0
"[16, 1, 6, 28, 8]","[1.0, 0.0, 0.0, 1.0, 1.0, 1.0]",0,5
"[16, 1, 13, 17, 17]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",1,5
"[16, 1, 6, 7, 8]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",1,1
"[16, 1, 6, 28, 8]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,2
"[16, 10, 25, 23, 17]","[1.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,0
"[16, 1, 6, 28, 8]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",3,1
"[16, 10, 25, 22, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 13, 17, 17]","[0.0, 0.0, 0.0, 0.0, 1.0, 1.0]",2,4
"[16, 10, 14, 15, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,0
"[16, 10, 25, 23, 17]","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 2, 28, 4]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]",4,0
"[16, 1, 13, 17, 17]","[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,4
"[16, 1, 2, 28, 4]","[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",0,1
"[16, 10, 25, 23, 17]","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",0,0
"[16, 1, 13, 17, 17]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.0]",2,5
"[16, 1, 6, 28, 8]","[1.0, 0.0, 1.0, 1.0, 0.0, 0.0]",0,2
"[16, 10, 14, 15, 17]","[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",1,5
"[16, 1, 2, 28, 4]","[1.0, 0.0, 0.0, 1.0, 1.0, 1.0]",3,0
"[16, 10, 25, 23, 17]","[1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,0
"[16, 1, 2, 28, 4]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]",0,0
"[16, 1, 6, 28, 8]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,2
"[16, 1, 2, 28, 4]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,2
"[16, 10, 25, 22, 17]","[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0,0
"[16, 10, 25, 22, 17]","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]",3,4
"[16, 1, 13, 17, 17]","[1.0, 0.0, 1.0, 0.0, 1.0, 1.0]",0,4
"[16, 10, 14, 15, 17]","[1.0, 0.0, 1.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 13, 17, 17]","[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]",1,4
"[16, 10, 25, 23, 17]","[1.0, 0.0, 0.0, 1.0, 1.0, 1.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",0,0
"[16, 10, 25, 22, 17]","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]",3,4
"[16, 10, 25, 23, 17]","[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",2,2
"[16, 10, 25, 23, 17]","[0.0, 0.0, 0.0, 1.0, 1.0, 1.0]",3,5
"[16, 10, 25, 22, 17]","[1.0, 1.0, 0.0, 0.0, 1.0, 0.0]",0,0
"[16, 10, 25, 22, 17]","[1.0, 1.0, 1.0, 1.0, 0.0, 1.0]",0,0
"[16, 1, 6, 7, 8]","[0.0, 0.0, 1.0, 0.0, 1.0, 1.0]",1,1
"[16, 10, 25, 23, 17]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,0
"[16, 1, 6, 7, 8]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,1
"[16, 1, 6, 28, 8]","[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",2,2
"[16, 1, 2, 28, 4]","[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",0,4
"[16, 1, 13, 17, 17]","[1.0, 1.0, 1.0, 1.0, 1.0, 0.0]",0,0
"[16, 1, 6, 28, 8]","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",0,5
"[16, 1, 6, 28, 8]","[0.0, 1.0, 1.0, 1.0, 0.0, 0.0]",2,2
"[16, 1, 2, 28, 4]","[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",2,4
"[16, 1, 6, 7, 8]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,1
"[16, 10, 25, 22, 17]","[1.0, 1.0, 0.0, 1.0, 0.0, 0.0]",0,0
"[16, 10, 14, 15, 17]","[0.0, 1.0, 1.0, 0.0, 0.0, 0.0]",1,2
"[16, 10, 25, 22, 17]","[1.0, 0.0, 0.0, 1.0, 1.0, 0.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",0,0
"[16, 10, 25, 23, 17]","[1.0, 0.0, 0.0, 0.0, 1.0, 1.0]",0,0
"[16, 1, 2, 28, 4]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0,1
"[16, 10, 25, 22, 17]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 1.0, 0.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 6, 28, 8]","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0]",0,5
"[16, 1, 13, 17, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,0
"[16, 1, 2, 28, 4]","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",0,0
"[16, 10, 25, 23, 17]","[0.0, 0.0, 0.0, 1.0, 1.0, 0.0]",3,4
"[16, 1, 6, 7, 8]","[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]",1,1
"[16, 10, 25, 22, 17]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0
"[16, 10, 25, 23, 17]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",1,1
"[16, 10, 14, 15, 17]","[1.0, 1.0, 0.0, 1.0, 1.0, 1.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0,0
"[16, 1, 2, 28, 4]","[0.0, 1.0, 1.0, 0.0, 1.0, 0.0]",0,1
"[16, 1, 13, 17, 17]","[0.0, 1.0, 0.0, 1.0, 1.0, 1.0]",1,4
"[16, 1, 6, 7, 8]","[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",1,1
"[16, 1, 6, 28, 8]","[0.0, 0.0, 1.0, 1.0, 1.0, 0.0]",2,2
"[16, 10, 25, 22, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 1.0, 1.0, 1.0, 0.0, 0.0]",0,0
"[16, 1, 6, 7, 8]","[0.0, 1.0, 0.0, 1.0, 1.0, 0.0]",1,1
"[16, 10, 25, 22, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 2, 28, 4]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,4
"[16, 10, 25, 22, 17]","[0.0, 1.0, 1.0, 0.0, 0.0, 1.0]",1,2
"[16, 1, 6, 28, 8]","[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]",2,5
"[16, 10, 25, 23, 17]","[0.0, 1.0, 0.0, 0.0, 1.0, 0.0]",1,1
"[16, 10, 14, 15, 17]","[0.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1,5
"[16, 10, 14, 15, 17]","[0.0, 0.0, 1.0, 1.0, 0.0, 1.0]",2,5
"[16, 1, 2, 28, 4]","[1.0, 1.0, 1.0, 0.0, 1.0, 1.0]",0,1
"[16, 10, 14, 15, 17]","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0,0
"[16, 1, 13, 17, 17]","[0.0, 0.0, 1.0, 0.0, 1.0, 0.0]",4,4
"[16, 10, 25, 22, 17]","[0.0, 0.0, 0.0, 0.0, 1.0, 0.0]",0,4
"[16, 10, 25, 22, 17]","[0.0, 1.0, 1.0, 0.0, 1.0, 1.0]",1,2
"[16, 1, 2, 28, 4]","[1.0, 1.0, 0.0, 1.0, 0.0, 1.0]",0,0
"[16, 10, 14, 15, 17]","[0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2,2
"[16, 10, 14, 15, 17]","[0.0, 1.0, 0.0, 1.0, 0.0, 1.0]",1,5
"[16, 10, 25, 22, 17]","[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]",1,5
"[16, 10, 25, 23, 17]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0,0
"[16, 10, 25, 22, 17]","[0.0, 1.0, 0.0, 1.0, 0.0, 0.0]",1,1
"[16, 1, 2, 28, 4]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,1
"[16, 10, 14, 15, 17]","[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]",1,5
"[16, 10, 25, 22, 17]","[1.0, 1.0, 0.0, 0.0, 1.0, 1.0]",0,0
"[16, 10, 14, 15, 17]","[1.0, 1.0, 1.0, 0.0, 0.0, 1.0]",0,0
"[16, 1, 6, 7, 8]","[1.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0,1
"[16, 10, 25, 23, 17]","[1.0, 0.0, 1.0, 0.0, 0.0, 0.0]",0,0
"[16, 1, 2, 28, 4]","[1.0, 1.0, 1.0, 0.0, 0.0, 0.0]",0,1
"[16, 1, 6, 7, 8]","[1.0, 0.0, 1.0, 1.0, 1.0, 1.0]",0,1
"[16, 1, 2, 28, 4]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1,1
"[16, 10, 25, 23, 17]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",1,1
"[16, 10, 25, 23, 17]","[0.0, 1.0, 1.0, 1.0, 0.0, 1.0]",1,5
"[16, 10, 14, 15, 17]","[1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0,0
"[16, 1, 2, 28, 4]","[0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",0,1
